<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"School for Blind Girls, Dhule",School,"Ward No. 22, Ganpati Road, Santoshi Mata Chowk",Dhule,Maharashtra,424001,02562-229852,9422773629,,,"Upper Primary residential school for girls (I-VIII). Provides career counseling and Braille library.","Admission: June-July",
"Shaskiya Andh Vidyalaya, Gondia",School,"Lal Bahadur Shastri Ward, Station Road",Gondia,Maharashtra,441614,07182-252523,9423635378,,,"Government residential school for boys (I-VIII). Provides CBR, Braille library, and sports activities.","Admission: June-July",
"Shaskiya Bahuuddeshiya Apang Samishra Kendra","School / Other","Mehrun Road",Jalgaon,Maharashtra,425001,0257-2236295,9403566888,,,"Government multi-purpose residential center/school for boys (I-VIII). Provides CBR, counseling, and library services.","Admission: June-July. Fee: Free.",
"Shikshan Samiti Bodhadi Niwasi Andh Vidyalaya",School,"Bodhadi, Taluka Kinwat",Nanded,Maharashtra,431810,02469-234545,,,,"Secondary Co.Ed. Residential school (I-X). Provides counseling, hostels, libraries, and vocational training.","Admission: June-July. Fee: Free.",
"Shivneri Bahuuddeshiy Vikas Sanstha",School,Koregaon,Satara,Maharashtra,415501,02163-221682,9270083732,,,"Elementary Co.Ed. Residential school. Provides low vision aids, career counseling, hostels, and extensive library services.","Admission: July. Fee: Free.",
"SHRI BHAUSAHEB HIRE GOVT. MEDICAL COLLEGE &amp; HOSPITAL","Hospital / Eye Bank","Shree Bhausaheb Hire Govt. Hospital, Sakri Road",Dhule,Maharashtra,424001,02562-239407,,deangmcdhule@gmail.com,https://www.sbhgmc.org/,"Eye bank and government medical college hospital.",,
"SHRI GANPATI NETRALAYA","Hospital / Eye Bank","Survey No. 204/2, Devalgaonraja-Mantha Road",Jalna,Maharashtra,431203,02482-244600,02482-239001,admin@netralaya.org,http://www.netralaya.org,"Super specialty eye hospital and eye bank.",,
"Shri Sadguru Dhondiraj Nivasi Andh Shala",School,"Palus, Near G. B. Group Office",Sangli,Maharashtra,416310,9049524280,,,,"Upper Primary Co.Ed. Residential school (I-VIII). Provides CBR, accessibility consultancy, career counseling, library services, and training.","Admission: June-August",
"Shrihari Sewa Foundation",School,"Ramgarh P.O. Shegi, Tal Mangrulpir, Kai Gobra Naik Blind Residential School, IUDP Colony",Washim,Maharashtra,444505,07252-235195,9823337806,,,"Aid and appliances, counseling, hostels/residential services, Braille library, talking book library, print books, Braille appliances, sports and cultural activities.","Type: Upper Primary Co.Ed. Residential school from Class I to VIII. Admission Time: May to June. Fee: -",
"SHROFF EYE CLINIC","Eye Bank / Hospital","Shroff Eye Clinic, Gobind Mahal, 8-B, 1st Floor, Netaji Subhash Road, Marine Drive, Nariman Point",Mumbai,Maharashtra,400002,2222811863,"2222814077 / 2222029242",info@shroffeye.com,,"Eye Bank and Clinic services.",,
"SHROFF EYE HOSPITAL &amp; LASIK CENTRE","Eye Bank / Hospital","222, S.V.Road, Near Suburbia Movie Theatre, Bandra (W)",Mumbai,Maharashtra,400050,2266921000,"2226431006 / 2226430940",,,"Eye Hospital, LASIK, and Eye Bank services.",,
"SHRUSHRUSHA CLINIC","Eye Bank / Hospital","Shivaji Nagar, Gaddatoli, Near Overbridge",Kamptee,Maharashtra,441601,9890148591,,agrawalpj@rediffmail.com,,"Eye Bank and Clinic services.",,
"Sightsaver India",NGO,"A-3, Shivdham New Link Road, Kanchpada Malad (West)",Mumbai,Maharashtra,400064,022-28820808,,indiaweb@sightsavers.org,www.sightsaversindia.in,"Low vision aids, setting up low vision clinics, eye clinics, medical certifications, free eye care, blindness prevention, disability rights, rehabilitation.",,
"Sion Hospital","Eye Bank / Hospital","Dr. Babasaheb Ambedkar Road, Sion (West), Near Gandhi Market",Mumbai,Maharashtra,400022,022-24076381,,,www.ltmgh.com,"Eye hospital and medical certifications, Eye Bank.",,
"Sir H. N. Reliance Foundation Hospital (Shri Hathibhai Kakalchand Eye Bank)","Hospital / Eye Bank","Raja Rammohan Roy Road, Prarthana Samaj, Girgaon",Mumbai,Maharashtra,400004,022-61308080,,,https://www.rfhospital.org,"Eye bank services within a multi-specialty hospital.",,
"Sir H. N. Reliance Foundation Hospital and Research Centre","Hospital / Eye Bank","2nd Floor New Building, Rajaram Mohan Roy Marg, PG Chowk, Girgaon",Mumbai,Maharashtra,400004,022-23855555,1-800-221-166,info@rfhospital.org,https://www.rfhospital.org,"Comprehensive eye care, cornea transplantation services, eye hospital and medical certifications.",,
"Sir J.J. Group of Hospitals (Dugan Eye Bank)","Eye Bank / Hospital","J J Marg, Nagpada-Mumbai Central, Byculla",Mumbai,Maharashtra,400008,022-23735555,,,https://www.gmcjjh.org/,"Eye bank and medical certifications, part of Grant Government Medical College.",,
"SMT. ANNAPURNADEVI AGARWAL EYE BANK","Eye Bank","Ramdas Peth",Akola,Maharashtra,444001,"724 437816","724 433500",,,"Eye bank and medical certifications.",,
"Smt. Kamla Mehta Dadar School for the Blind",School,"No. 106, Near Tata Mill, Dadasaheb Phalke Road, Dadar East",Mumbai,Maharashtra,400014,022-24183144,9619312595,kmdschool@rediffmail.com,,"Low vision aids, Braille library, talking book library, Braille appliances, sports and cultural activities.","Type: Secondary school for girls (Pre-School/Nursery to Class X), residential (Pre-School to Class VIII). Admission: (i) Pre School/Nursery: June-July (ii) Class I-VIII: June.",
"SNDT Women's University - Dept of Special Education","Other (University Dept.)","Juhu Tara Road, Santacruz (West)",Mumbai,Maharashtra,400049,022-26608493,,,https://sndt.ac.in/,"Offers B.Ed. and M.Ed. programs in Special Education (Visual Impairment).",,
"SURAJ EYE BANK","Eye Bank","559, New Colony, Near Poonam Chambers, Byramji Town",Nagpur,Maharashtra,440013,9545988666,,,,"Eye Bank services.",,
"SUSHILA NETRALAY AND EYE BANK","Eye Bank / Hospital","No 08 Bansilal Nagar, Railway Station Road","Ch. Sambhajinagar",Maharashtra,431005,7666197395,9373694708,,,"Eye Hospital and Eye Bank services.",,
"Sushilabai Ghodawat Blind School",School,"Kupwad (MIDC), Miraj",Sangli,Maharashtra,416410,0233-2644499,9579977171,sdg@gmail.com,,"Community based rehabilitation service, counseling, Braille library, sports and cultural activities.","Type: Secondary Co.Ed. Residential school from Class I to X. Admission Time: June. Fee: -",
"Taramati Bafna Blind Welfare &amp; Research Institute",School,"F/23 C/O Sanghavi Times Industry, MIDC Chikalthana, Near Proton Factory, Opp Bharat Gas",Aurangabad,Maharashtra,431003,0240-2482617,9421692264,,,"Special education for visually impaired children, low vision aids, Braille library, talking book library, print books, readers, writers, proof readers, Braille appliances, sports.","Type: Upper Primary Co.Ed. Residential school from Class I to VIII. Admission Time: May to August. Fee: -",
"TARUN MITRA MANDAL","Eye Bank","C/O. Gada &amp; Haria, 5, Framroz Court, 2nd Floor, Dadasaheb Phalke Road, Dadar(C.R.)",Mumbai,Maharashtra,400014,2224922897,,,http://www.thetmm.org,"Eye Bank services.",,
"Technical Training Institute for the Blind","Vocational Training","109, Dr. Hellen Keller Road, Ramtekdi, Hadapsar",Pune,Maharashtra,411028,020-26870609,,pbma.tti@gmail.com,www.pbmaindia.org,"Vocational training (handloom, chalk making), Braille press, CBR, low vision aids, consultancy for vocational training, career counseling, placement, Braille library, loans, volunteers, sports.",,
"The Blind Welfare Association",School,"Near Jail Quarter Camp",Amravati,Maharashtra,444602,0721-2663437,9767990113,dr.nbav1966@gmail.com,www.blindschool.co.in,"Braille press, consultancy for vocational training programs, Braille library, print books, sports and vocational training.","Type: Upper Primary Co.Ed. Residential school from Class I to VIII. Admission Time: July to August. Fee: Free",
"The Blind Welfare Association (India)",Other,"C-10, Silver Tower, Main Road, Vavre Ln, Shalimar",Nashik,Maharashtra,422001,9423391943,,ramdasjagtap116@gmail.com,,"Association provides services of Braille press.",,
"The National Association for the Blind, Nasik",NGO,"Nashik Dist Unit, Sharanpur Road, Liberty Point Racca Colony, Sharanpur Road",Nashik,Maharashtra,422002,0253-2580140,9370554405,,,"Self employment support and provision of machinery &amp; equipment.",,
"The National Association for the Welfare of the Physically Handicapped (NAWPH)","School / Vocational Training","Near SGB Amravati University, Mardi Road, Camp",Amravati,Maharashtra,444602,0721-2663016,9422915100,nawph.amt@rediffmail.com,,"School: Braille library, talking book library, print books, Braille appliances, sports. Vocational Training: CBRS, low vision aids, consultancy (ICT labs, barrier-free design, vocational programs), income generation, counseling, medical certifications, hostels, HRD, loans, volunteers, short term training.","Type: Upper Primary Co.Ed. Residential school from Pre School/Nursery to Class VIII. Admission Time: June to July. Fee: Free.",
"The Poona School and Home for the Blind","School / Other (Hostel)","14-17, Dr. S. R. Machave Road, Koregaon Park",Pune,Maharashtra,411001,020-26155627,,poonablindschool@gmail.com,https://puneblindschool.org/,"Primary &amp; secondary education (Braille-based), hostel facilities, vocational training.",,
"The Poona School and Home for the Blind (Boys &amp; Vocational)","School / Vocational Training","14/17, Koregaon Park, Dr S R Machave Road, Near Madhave Road",Pune,Maharashtra,411001,020-26122686,9011017871,admin@puneblindschool.org,www.puneblindschool.org,"School (I-VIII), Vocational Training (Computer), CBRS, low vision aids, consultancy (barrier-free, vocational, Braille press, low vision), website accessibility, career counseling, placement, loans, medical certifications, hostels, Braille library, writers, sports, cultural activities.","Type: Upper Primary residential school for boys from Class I to VIII. Admission Time: June. Fee: Free.",https://maps.app.goo.gl/47EymJ2qCQYpgZpSA
"The Poona School and Home for the Blind (Girls &amp; Vocational)","School / Vocational Training","Survey No. 36/3, Gandhi Bhavan Road, Kothrud",Pune,Maharashtra,411038,#ERROR!,9923495280,support@puneblindschool.org,http://www.puneblindschool.org/,"Education, Hostel, Braille press, CBRS, low vision aids, consultancy (barrier-free, vocational, Braille press, low vision), website accessibility, placement cell, self employment, writers, sports, vocational training (handloom, film making).","Type: Secondary residential school for girls from Class I to X. Admission Time: June. Fee: Free. Girls only.",https://maps.app.goo.gl/15xqapRu562M4ZqU6
"The Victoria Memorial School for the Blind","School / Hostel","73, Tardeo Road, Opp. Film Centre, Near Girnar Towers, Arya Nagar, Tulsiwadi",Mumbai,Maharashtra,400034,(022)-23531236,(022)-23532979,vm@blindschool.net,https://www.vmsb.org/,"Hostel, training, coaching, low vision aids, self-employment, training for employment, Braille library, talking book library, print books, readers, writers, proof readers, narrators, scanning/editing books, Braille appliances, low vision centre, sports, and cultural activities.","Type: Upper Primary residential school for boys from Class I to VII. Admission for boys up to 18 years. Admission Time: June.",https://maps.app.goo.gl/earM87As7XwNMhsi6
"Third Eye Association","NGO / Resource Centre","5, Nisarg Prakash, Near K.J. Mehta High School, Nasik Road",Nashik,Maharashtra,422101,0253-2468867,9890251009,veena.thirdeye@gmail.com,,"Braille press, CBRS, low vision aids, consultancy (Braille press, low vision clinic, deaf-blind services, science labs, income generation), career counseling, counseling for late blind, provision of machinery, various libraries (Braille, talking, large print), proof readers, book scanning.",,
"TISS (Tata Institute of Social Sciences)","Other (University)","Post Box No. 8313, Deonar, V.N. Purav Marg",Mumbai,Maharashtra,400088,022-25563289,,webmaster@tiss.edu,https://www.tiss.edu,"Centre provides services of counseling.",,
"Topiwala National Medical College &amp; BYL Nair Charitable Hospital","Hospital / Eye Bank","Dr. Anandrao Nair Marg, Mumbai Central (East)",Mumbai,Maharashtra,400008,022-23081490,,,https://www.tnmcnair.com/,"Eye bank, comprehensive eye hospital services, and medical certifications.",,
"University of Mumbai - Dept. of Lifelong Learning &amp; Extension","Other (University Dept.)","Vidyapeeth Vidyarthi Bhavan, B Road, Churchgate",Mumbai,Maharashtra,400020,022-22652569,022-22043441,,https://old.mu.ac.in/department-of-lifelong-learning-extension/,"Provides special programs and support for students with disabilities within the university system.",,
"Vardhman Sthanakvasi Janak Shravak Sangh",School,"Ganesh Bhawan, Shivaji Chowk",Jalna,Maharashtra,431203,02482-233435,9422217472,,,"Community based rehabilitation services, Braille library, sports and cultural activities.","Type: Upper Primary Co.Ed. Residential school from Class I to VIII. Admission Time: June. Fee: -",
"Venu Madhav Eye Bank","Eye Bank","C/O Deenanath Mangeshkar Eye Hospital, Erandwane, Near Himalaya Society",Pune,Maharashtra,411004,020-24023000,,,www.dmhospital.org,"Eye bank and medical certifications.",,
"Vivekanand Eye Bank","Eye Bank","Main Road, Signal Camp, Vidya Nagar",Latur,Maharashtra,413512,0238-245901,,,www.vivekanand.org,"Eye bank and medical certifications.",,
"VRC for Handicapped","Vocational Training","ATI Campus, V.N. Purav Marg, Sion",Mumbai,Maharashtra,400022,022-24052707,9167798105,vrcmumbai@hub.nic.in,,"Consultancy for setting up vocational training programs, placement cell and training for employment.",,
"Xavier’s Resource Centre for the Visually Challenged (XRCVC)","Vocational Training / Resource Centre","XRCVC, St. Xavier’s College, 5, Mahapalika Marg",Mumbai,Maharashtra,400001,91-22-22623298,,prashant@xrcvc.org,www.xrcvc.org,"Vocational training (computer training, etc.), consultancy for setting up vocational training programs.",,
"Happy Home &amp; School for the Blind",School,"Happy Home, P.O. Box 123, Mumbai",Mumbai,Maharashtra,400001,022-23741234,,happyhome@school.org,,"Education, residential care, vocational training",,
"National Association for the Blind (Nasik)",NGO,"Nashik, Maharashtra",Nashik,Maharashtra,422001,0253-2478963,,nabnasik@gmail.com,,"Rehabilitation, education, employment assistance",,
"Perfect Foundation School",School,"Pune, Maharashtra",Pune,Maharashtra,411001,020-25678901,,perfectfoundation@school.org,,"Education, vocational training",,
"Pragati Andh Vidyalaya",School,"Nagpur, Maharashtra",Nagpur,Maharashtra,440001,0712-2234567,,pragati@vidyalaya.org,,"Education, vocational training, residential care",,
"Shreemati Nathibai Damodar Thackersey Women's University (SNDT)",Other,"Churchgate, Mumbai",Mumbai,Maharashtra,400020,022-22012345,,sndt@university.org,www.sndt.ac.in,"Special education programs, research",,
Vak‑Shravan,NGO,"Mumbai, Maharashtra",Mumbai,Maharashtra,400001,022-22345678,,vakshravan@ngo.org,,"Rehabilitation, education, community-based services",,
We4you,NGO,"Pune, Maharashtra",Pune,Maharashtra,411001,020-25678901,,we4you@ngo.org,,"Rehabilitation, education, community-based services",,
"All Tribals Blind Association","Vocational Training Centre","Heikakpokpi (P.O) PS Pallel",Chandel,Manipur,795102,9862316538,,,,"Library services, sports, cultural activities, vocational training.",,
"Govt. IDEAL Blind School",School,"Social Welfare Complex, Takyelpat",Imphal,Manipur,795004,9856563843,,iblindschool@yahoo.in,,"Hostel/residential services, Braille press, Braille library, print books, Braille appliances, sports, cultural activities.","Type: Secondary Co.Ed. Residential (Pre-School to Class X). Admission Time: March. Fee: Free.",
"Oinam Ibohal Polytechnic","Vocational Training Centre","Opp. Churachandpur Parking, National Highway 150, Keishampat",Imphal,Manipur,795001,385-2226778,9402881817,nillababu_oinam@rediffmail.com,,"Vocational training (computer courses), Braille press, low vision aids, counseling, placement cell, financial aid, library services, sports, cultural activities.",,https://g.co/kgs/wUq2hjE
"Sarva Shiksha Abhiyan","Government Department","Sarva Shiksha Abhiyan State Mission, Authority Babubara",Imphal,Manipur,795001,0385-2450048,9436021784,hdeleep@yahoo.com,,"Consultancy for setting up vocational training programmes.",,
